country_name,cat_Demographics_trend_slope,cat_Economy_trend_slope,cat_Education_trend_slope,cat_Governance_trend_slope,cat_Health_trend_slope,cat_Labor_trend_slope,cat_LegalAutonomy_trend_slope,cat_WBL_trend_slope,cat_Demographics_cagr,cat_Economy_cagr,cat_Education_cagr,cat_Governance_cagr,cat_Health_cagr,cat_Labor_cagr,cat_WBL_cagr,cat_Demographics_momentum,cat_Economy_momentum,cat_Education_momentum,cat_Governance_momentum,cat_Health_momentum,cat_Labor_momentum,cat_LegalAutonomy_momentum,cat_WBL_momentum,cat_Demographics_rolling_std_5y,cat_Economy_rolling_std_5y,cat_Education_rolling_std_5y,cat_Governance_rolling_std_5y,cat_Health_rolling_std_5y,cat_Labor_rolling_std_5y,cat_WBL_rolling_std_5y,cat_Demographics_spike,cat_Economy_spike,cat_Education_spike,cat_Governance_spike,cat_Health_spike,cat_Labor_spike,cat_LegalAutonomy_spike,cat_WBL_spike,cat_Demographics_dip,cat_Economy_dip,cat_Education_dip,cat_Governance_dip,cat_Health_dip,cat_Labor_dip,cat_LegalAutonomy_dip,cat_WBL_dip,cat_Demographics_coef_variation,cat_Economy_coef_variation,cat_Education_coef_variation,cat_Governance_coef_variation,cat_Health_coef_variation,cat_Labor_coef_variation,cat_LegalAutonomy_coef_variation,cat_WBL_coef_variation,traj_cluster,Cluster_Name,Cluster_Tagline
Algeria,0.5491357218130606,-0.4738516157334119,-0.35083911679414587,-0.24243367176491407,0.22416644989125498,-0.9218962770501486,0.071013568049949,-0.04667012863796456,1.1323625200113394,1.5477460426158842,0.0825614530977418,0.6660201977313079,0.6817007511384222,-1.190518456127536,0.7901170912831418,-0.3078734285006163,0.14685045741087147,-0.6468113613194929,0.0,-0.11089498877269337,0.5588077950527935,0.0,0.0,0.44403924312191845,-0.5215256833254907,-0.4044352270268337,-0.2415801343394088,-0.08502318457569362,0.6321209078392729,-0.2238671812181711,-0.06092552573339382,0.4345183497005309,0.3725996908147441,-0.38058163744342854,0.05597437115096575,2.0531017198117674,-0.5712632549439676,-0.9611565391767702,-0.4239587724799872,-0.6,-0.5880456141737572,0.2990912406624044,1.0274756006108074,0.34867037612347335,-0.2775559219717246,-0.355247378736614,-0.9849614778585398,-0.7712848961732284,-0.4618357845457204,-0.7255640324913619,-0.9911945788465403,-0.3496944564881076,-0.5983049736454378,-0.9396963442589408,1,Education-Led Social Improvers,"Social sectors (education, health) improving despite structural constraints."
Bahrain,-0.8823246924853932,0.7604556863734245,-0.3508390486124892,-0.24242949749055492,0.5625466827946043,0.3854278715254034,1.146375863356124,1.179822158136315,0.40699723571777113,-0.2265944612653448,0.10390134662720156,-0.011181159497026808,1.7305402016513045,1.1345770702140812,0.2531218658904583,-0.13845579151545725,-1.5869254231821912,-1.0563564974884254,0.0,3.6381867250621918,-0.3917575168130478,0.0,0.0,-0.9427125124977824,-0.07316004957997971,-0.40443456779956416,-0.24229415050845585,-0.8146222526591049,-1.1768743082657536,0.9343840430200278,-0.06092552573339382,-1.4801279892491763,-0.7144010279316728,0.11475238092112056,-0.8051698004023512,0.3941537492920092,1.2435511801057,1.0952005573186974,-0.4239587724799872,-0.6,-0.5880456141737572,-0.4177719193806416,1.0274756006108074,1.22399349609872,-0.2775559219717246,-0.355247378736614,0.31559040868382165,2.6041665251653403,-0.4426363694757344,0.5727125740310365,-0.17315364914999243,-0.35133421034437884,1.1849934974051732,0.7282565964309541,5,Steady Reformers,"Balanced, stable reform path with moderate gains and controlled volatility."
"Egypt, Arab Rep.",2.8223885292457256,-0.45629215637050774,-0.3508386284985564,-0.2417985083198414,0.04439920807809781,-0.7188976887273922,-0.7030618772781994,-0.08933830190877716,0.43490172043379,-0.7987056387019763,0.10145309200778027,0.6952297304354692,0.2936968855946211,0.1735292445230263,2.3635429930798657,-0.3786418464886628,2.4598797607285,-0.31906147906480387,0.0,-0.6232290129231776,1.225105194973942,0.0,0.0,2.775689623663856,-0.6017898498973359,-0.4044354113734452,-0.24217622785238807,-0.2614914128081574,1.554376153133531,-0.02219430303103746,-0.06092552573339382,0.4345183497005309,-0.7144010279316728,-0.8759156558079777,-1.666313971955668,-0.7118115643878296,-0.5712632549439676,0.06702200907096352,-0.4239587724799872,-0.6,1.2275326114055967,-0.4177719193806416,-0.7910652854260195,-0.5266527438517733,0.3621376241859003,0.6838252272528335,-0.993434146925544,-0.5805861518807409,-0.46386185087814186,0.15222402994181505,-0.5760520151045274,-0.6617779106020142,-0.7299935812170891,0.18298245756626644,1,Education-Led Social Improvers,"Social sectors (education, health) improving despite structural constraints."
"Iran, Islamic Rep.",1.3952181645350232,-0.5049504733163259,-0.35083868829434833,-0.24308592957444192,0.5039072765698482,-0.8395220537524348,-0.8096710703473436,-0.769852126625923,0.7572226198926996,1.8529914688437463,0.09518384978881375,0.10037823332015694,0.46793376585487784,0.08043342908753497,0.09628402458655173,-0.5044459941309785,-0.07120828623818873,-0.09343603346234367,-1.4329913537703773,-0.5109519888996098,-0.12030747826017886,0.0,0.0,1.3550255878876505,-0.4173475404138036,-0.4044351176680489,-0.24343666771146086,-0.15616142144746475,0.20162611208581208,-1.0384832917499676,1.2603509359546683,0.4345183497005309,-0.7144010279316728,-0.8759156558079777,-0.8051698004023512,-0.7118115643878296,-0.5712632549439676,-0.9611565391767702,1.5685367639794836,-0.6,-0.5880456141737572,-0.4177719193806416,-0.7910652854260195,-1.40197586382702,-0.2775559219717246,-0.355247378736614,-0.9283771630151646,-0.4836350082105245,-0.45887724498323945,-1.2425574493503821,-0.5156321942299029,-1.1685406446890991,-0.8059575684508431,-1.0869980116891007,1,Education-Led Social Improvers,"Social sectors (education, health) improving despite structural constraints."
Iraq,1.071438505711416,-0.258855160639784,2.7116302115982958,-0.24297415555937454,-0.6470042052729092,0.5000457364638861,-0.2163677350060083,-0.06626265718068447,-0.40170418391588014,-0.7407894079151267,1.002620701650042,0.16424970861852853,1.5108434880344075,0.4580280998617774,-0.3971119731589097,-0.21875261264684287,0.2289354145324346,1.8999194167351805,0.0,0.04616403320976472,0.46990564787667044,0.0,0.0,1.0063624274452223,-0.425411525361305,2.604215377472817,-0.24232895215262565,1.4113242517133575,0.016391640633789735,-0.07857015565548221,-1.382201987421456,1.3918415191753843,1.459600409561161,-0.8759156558079777,-1.666313971955668,-0.7118115643878296,-0.5712632549439676,-0.6184303564275256,-0.4239587724799872,-0.6,-0.5880456141737572,1.7328175607484966,-0.7910652854260195,1.22399349609872,-0.2775559219717246,-0.355247378736614,0.11256342402554162,1.0396336609999877,2.798914876998316,-0.2605123344962989,-0.5347009882628411,-0.22020396636879724,-0.37661354490648147,0.1525529667318138,1,Education-Led Social Improvers,"Social sectors (education, health) improving despite structural constraints."
Jordan,-0.3330998344111437,-0.44085849369741514,-0.35083898204013586,-0.24262460531049937,0.158127159718755,0.39216192170982284,0.10809502650877595,0.4344352944666072,0.7752208473568947,-0.04329415188669044,0.04441973615082407,0.09454009244774836,0.8538754089430368,0.20104818201039965,-0.0004411354171323358,-0.38293961090861656,-0.8313570616277758,0.32710326832907877,0.0,-0.4060714449250738,0.44965029228240455,0.0,0.0,-0.44113254735128526,-0.6404386404789247,-0.40443550575981474,-0.24244901503281502,-0.11939901564116091,-0.3707533417693348,0.20856754868263516,-0.06092552573339382,-0.5228048197743227,0.3725996908147441,0.6100863992856697,0.9171185427042827,-0.7118115643878296,0.33614396258086615,0.923837465944075,-0.4239587724799872,-0.6,-0.5880456141737572,0.2990912406624044,-0.7910652854260195,-1.40197586382702,-0.2775559219717246,-0.355247378736614,-0.051453737557815335,-0.2944989091284935,-0.4746170905128782,2.035368862221488,-0.5209590013118129,-0.8806802046002727,1.5311614237773785,1.7360104147548312,0,Steady Moderate Improvers,"Slow, consistent upward movement across most categories."
Kuwait,-0.6878870597675638,-0.034477739080790396,-0.3508387185382372,-0.24265366197661004,0.8053697585147664,0.6363286602491467,-0.1607455473177604,-0.5721852831060353,1.05347811690863,-0.5548914685365877,0.09021492347879335,-0.5902287520626954,0.28690158090078344,-0.17190360677013486,-0.28895951845436213,-0.7236783806274659,-0.1298554191011015,0.5439185712737653,0.0,-0.24781227348614587,0.25449995462489705,0.0,0.0,-0.7824700978518119,1.6030144299372193,-0.40443490064323867,-0.24264173728776706,-0.1445729887768142,-0.8715877787771725,-0.30907083281565295,-0.06092552573339382,-1.4801279892491763,-0.7144010279316728,1.1054204176502187,1.6318682050935343,0.9471364061319286,-0.5712632549439676,0.7524743745694527,-0.4239587724799872,1.7999999999999998,1.2275326114055967,-0.4177719193806416,-0.7910652854260195,-0.5266527438517733,-0.2775559219717246,-0.355247378736614,1.0888888137739852,-1.0937093806415061,-0.45888736978790956,1.240059218204596,2.9323460593742525,1.8601746918041873,-0.549375438357363,0.22208045594580525,0,Steady Moderate Improvers,"Slow, consistent upward movement across most categories."
Lebanon,-0.8076730021477955,-0.5302919602703564,0.10451934909950449,-0.2429102375377618,0.840208252876441,-0.14697500530207275,-0.8096710703473436,-0.711509930520934,-0.36004314001909127,1.4440536681343055,0.28548406091738376,-0.6529252335624723,0.37320120640898213,-0.24610779553826762,-0.6373529261727702,-0.15131199428154,0.5527002150982637,1.0613577369053757,-1.117226373941826,-0.12897224110089398,0.8256927207185719,0.0,0.0,-0.7590160107489893,-0.42816107552347016,-0.08205481295718041,-0.2421909230975027,-0.6214249651730956,-0.4769795015887184,-0.8775944110530766,1.2603509359546683,1.3918415191753843,-0.7144010279316728,2.5072156896218916,0.9171185427042827,-0.1588289075479102,-0.5712632549439676,0.06702200907096352,-0.4239587724799872,-0.6,-0.5880456141737572,-0.4177719193806416,1.0274756006108074,0.34867037612347335,-0.2775559219717246,-0.355247378736614,-0.303498492926532,2.0321092496235003,-0.35757788643693655,1.084738693330346,-0.300665521847747,-0.7069384201825601,-0.8059575684508431,-1.1257562718388574,1,Education-Led Social Improvers,"Social sectors (education, health) improving despite structural constraints."
Libya,-0.811262759783196,-0.6908176739871337,2.880438238059894,-0.24236246646722198,0.7884828543090322,0.7543778991530586,-0.1607455473177604,-0.12373407423933044,1.459492579282354,-1.9520681147788934,1.2093075471616768,0.6525738255934022,-1.2618584369029289,0.12912618524970962,-0.1350636954990619,0.8161607352585131,-0.468724869224946,0.9766321708266993,0.0,0.0535086557972067,0.26915211921269583,0.0,0.0,-0.8270368958357336,0.09936178253928347,2.982728469491433,-0.24312146817066363,-0.30287632545220694,-1.1648010194026106,-0.22863101812186584,-0.06092552573339382,-0.5228048197743227,2.361811006120685,0.11475238092112056,0.9171185427042827,-1.1707871695649628,-0.5712632549439676,-0.9611565391767702,1.5685367639794836,-0.6,-0.5880456141737572,-0.4177719193806416,1.0274756006108074,0.34867037612347335,-0.2775559219717246,-0.355247378736614,-0.9853899135774657,-0.5611656826295607,2.2282510235608672,-0.0846653806224218,-0.806577395983572,-1.2674408558470074,-0.6349028150551896,-0.630141592943183,1,Education-Led Social Improvers,"Social sectors (education, health) improving despite structural constraints."
Morocco,-0.07422434257698571,-0.5414244836398483,-0.35083813648647333,-0.24221299962257906,-2.9191050770446867,-2.0983965588990054,-0.06804190117068563,0.5955294180400839,-0.714124907666298,-1.0367341719356116,0.1457957472337058,2.5578956176836125,-0.27879779083360456,-0.8648597864540217,2.473507552155496,-0.19217551510123615,0.11757871207654086,-0.3070402440730291,0.0,-0.1417017464328678,0.5872348184181775,0.0,0.0,-0.1333314941209721,-0.6490096321644666,-0.40443505354398485,-0.24181834588392714,2.4671771094643593,-0.29675220640303734,0.7345013688996116,-1.382201987421456,0.4345183497005309,-0.7144010279316728,-0.38058163744342854,-0.8051698004023512,-0.7118115643878296,-0.5712632549439676,-0.9611565391767702,-0.4239587724799872,1.7999999999999998,-0.5880456141737572,3.5178068292556772,-0.7910652854260195,0.34867037612347335,4.078757127361693,3.9610602265435437,-1.2931161465050207,-0.6320352177133974,-0.4267058525741909,-0.8744196742480749,-0.12606843986555888,-0.845723284808563,-0.6430329667491061,-0.7462972134711242,2,Morocco,Chronic negative trajectory and long-term decline across dimensions.
